Id,Name
6c5e7af8-dd22-46d6-87b1-4436f2e4ab2f,School Admissions
b4d0ce54-6fdc-4f8f-9265-7b56896bc2b1,University Admissions
5065a4c4-9e2d-465b-b8a2-e3f1d89bfcc7,Academic Support
2261bfdb-0998-4644-aeae-6af562d3373d,Study Skills
24f25767-bc02-46e1-8587-325dd8c3f6a4,Career Consultancy
3ed54d43-46fa-43ce-8994-d10fff8604a6,Language Tutoring
fac851ab-bb32-4161-adce-38062ddd3c59,Interpretering
bf893a87-f835-4c4e-802c-3488343962dd,Guardianship
8327fd9d-47be-4b79-817c-8364e60cc2b7,Visa Application Consultancy 
709a78df-a2b0-43c1-b7f3-3a354cfe8e7f,Academic English Coaching
76410084-1858-475b-a96c-87b4602daebc,English Language Test for Professionals Coaching
672d3944-dd97-4a70-be11-fbc720d98645,Assessments Coaching
2c3d46f8-ca19-4631-a47f-e808c4341a52,Interview Coaching
402410a6-d45f-423f-ab69-e62d55348dac,Assessments Coaching
d76d644d-11b8-4f6a-8079-e7719e6a9c75,Interview Coaching
0c7b23af-c5a5-4e9d-8784-7994466a3a50,Assessments Coaching
8c0821ff-9027-4177-b30c-17a6437b91cc,Interview Coaching
bcf7d458-6d6b-4c22-ae23-221acb81f24f,CV Building
1b7f6831-37f9-44e5-9fa9-8ee421061701,Personal Statement Coaching
be67df63-0749-4a39-9467-d2a0336db4b4,Art & Design Portfolio Coaching
8e9128d9-109d-4c8a-a758-ec6564d5ddbd,Reference Letter Translation
9b62d92f-09ce-46b5-b09e-69136e867525,Sample Writing Coaching
3382a73a-885b-4191-a390-6f558c8912db,Admissions Test Coaching
1b16ca5e-b334-4dff-aa6b-adb6e4ce89f1,Interview Coaching
4b4feede-0c51-4db2-b46a-4dc8abc4b7a8,CV Building
b13d4c53-8b71-4f67-9912-0ab0d0714247,Personal Statement Coaching
fb25b847-c8d7-4185-b579-4def432a9c30,Research Proposal Coaching
23a1dc9b-2e19-4edc-a2fa-5f2f741c3b79,Art & Design Portfolio Coaching
a212df96-548c-4702-bba4-532e04494cbb,Reference Letter Translation
d07e3046-f681-4841-83eb-b7794c4e41d5,Sample Writing Coaching
93cd7c91-e40f-459f-bd39-436d89221ca4,Admissions Test Coaching
095dd7c5-ad35-430f-99ca-881b81468592,Interview Coaching
edc70fc2-c551-4f94-bfdf-93863da160ec,CV Building
5ac68481-3c46-46f5-acd6-09be48dbafa8,Personal Statement Coaching
41893412-8f67-4d58-baf2-abb4f96da0ba,Research Proposal Coaching
d789a168-652b-49df-8367-0945e183486e,Art & Design Portfolio Coaching
555381ae-f4fe-4b33-87ce-12e38f12ba6a,Reference Letter Translation
ef700f76-fbfc-475f-921b-bca9931f9719,Sample Writing Coaching
1db2580e-8fe4-4c65-bf05-2af023676c02,Interview Coaching
d20282ba-fbd3-4e72-81c0-3ec16309309c,Academic Tutoring
90105083-583c-49b7-937e-22ce838591c0,Assignment Feedback
57468258-b18a-47b8-b620-1a1af1d0d4a1,Academic Tutoring
f47ee9ef-8c00-4008-b87f-69c778de0bd5,Assignment Feedback
3fbed4b8-aa5e-4272-a264-4af14efd8edd,Academic Tutoring
88b77771-9590-4f58-b04d-0d6ca75b6f05,Assignment Feedback
b0cd2298-822a-4515-9b61-4b4ee763bd98,Proofreading & Copy Editing
9d268b81-efca-4334-b2b8-56abb0023b34,Academic Writing
1bbc5625-9f81-4254-a9c4-94555c51f5da,Presentation Skills
